# q	i	err
4.114400000000000002e-02 2.087046161428572286e-03 1.971338977857142911e-03
4.132399999999999962e-02 2.461167709999999981e-03 2.234519850857142904e-03
4.150399999999999923e-02 1.697441565714285150e-03 2.400953970999999965e-03
4.168299999999999783e-02 2.025406447142857457e-03 2.105917625857142705e-03
4.186299999999999744e-02 2.218591364285714233e-03 2.160612967714285997e-03
4.204299999999999704e-02 2.219313520000000626e-03 2.186776580857142851e-03
4.222299999999999665e-02 1.651901308571427848e-03 2.104234237857142802e-03
4.240200000000000219e-02 2.048571034285713924e-03 2.344201209714285618e-03
4.258200000000000179e-02 2.001718958571427950e-03 2.464239366999999847e-03
4.276200000000000140e-02 2.285704041428569724e-03 2.189173764857142886e-03
4.294200000000000100e-02 2.431910152857142109e-03 2.492592115000000479e-03
4.312099999999999961e-02 2.158140677142857643e-03 2.513108546857142911e-03
4.330099999999999921e-02 2.363838815714285231e-03 2.759346451571428882e-03
4.348099999999999882e-02 2.043142951428572173e-03 2.537120429285714095e-03
4.366099999999999842e-02 1.955312291428571662e-03 2.096337347857143030e-03
4.383999999999999703e-02 1.841064994285713987e-03 2.147859476000000059e-03
4.401999999999999663e-02 1.864599827142857449e-03 2.176241862285714385e-03
4.420000000000000318e-02 1.931075977142855974e-03 2.082133277142857175e-03
4.438000000000000278e-02 1.910086312857143479e-03 2.099097194857142863e-03
4.456000000000000238e-02 1.711069389999999701e-03 2.317160152857142708e-03
4.473900000000000099e-02 1.736286108571426668e-03 2.152868370428571553e-03
4.491900000000000059e-02 2.229152718571430093e-03 1.957486211571428814e-03
4.509900000000000020e-02 2.197562381428570279e-03 1.994788890142856937e-03
4.527899999999999980e-02 2.351839947142856432e-03 2.210255699571428509e-03
4.545799999999999841e-02 1.876237001428571888e-03 1.918339511571428690e-03
4.563799999999999801e-02 1.618953375714286087e-03 1.932755138428571533e-03
4.581799999999999762e-02 1.729827464285713795e-03 2.139077081000000189e-03
4.599799999999999722e-02 1.831413584285713830e-03 2.275435672142857562e-03
4.617700000000000277e-02 1.916858657142856640e-03 2.302366486142857441e-03
4.635700000000000237e-02 1.812019947142857416e-03 2.138325630285714193e-03
4.653700000000000198e-02 1.672405584285714284e-03 2.171018448428571439e-03
4.671700000000000158e-02 2.047250461428570291e-03 2.160550444428571866e-03
4.689600000000000019e-02 1.985226735714286893e-03 1.988042072857142822e-03
