# q	i	err
2.496599999999999861e-02 1.287107961999999980e-02 2.115641661714285932e-03
2.514500000000000068e-02 1.239149754142857170e-02 2.111628467857142727e-03
2.532500000000000029e-02 1.237228238142857109e-02 1.951121576285714350e-03
2.550499999999999989e-02 1.225752943571428374e-02 2.319291549571428530e-03
2.568499999999999950e-02 1.172201193571428650e-02 2.152063749571428430e-03
2.586499999999999910e-02 1.194711563000000129e-02 2.043272682428571609e-03
2.604400000000000118e-02 1.166958074714285684e-02 1.860130239142856979e-03
2.622400000000000078e-02 1.172818768142857085e-02 1.871583576999999877e-03
2.640400000000000039e-02 1.174634715571428421e-02 1.702737968285714587e-03
2.658399999999999999e-02 1.133255104571428452e-02 1.912128786142857110e-03
2.676299999999999860e-02 1.137772097857142617e-02 2.132380941857142751e-03
2.694300000000000167e-02 1.097117779714285903e-02 2.121708511285714215e-03
2.712300000000000127e-02 1.071519405571428815e-02 2.072601042428571811e-03
2.730300000000000088e-02 1.091363123428571759e-02 1.992077522571428488e-03
2.748199999999999948e-02 1.104400860428571274e-02 1.695828532571428500e-03
2.766199999999999909e-02 1.033922824285714130e-02 1.888600220571428354e-03
2.784199999999999869e-02 9.945066637142856505e-03 2.083196917857142987e-03
2.802199999999999830e-02 1.035029586857142726e-02 2.262083244857143044e-03
2.820100000000000037e-02 1.104185725285714362e-02 1.854225070428571756e-03
2.838099999999999998e-02 1.051981173571428681e-02 1.856585908000000064e-03
2.856099999999999958e-02 9.952646350000000225e-03 1.881763986857142718e-03
2.874099999999999919e-02 1.001075442999999933e-02 1.640103557857142819e-03
2.892000000000000126e-02 9.979311018571426772e-03 1.633309752428571378e-03
2.910000000000000087e-02 9.689559794285712221e-03 2.103295786142857227e-03
2.928000000000000047e-02 9.755564107142856642e-03 1.666892077000000022e-03
2.946000000000000008e-02 9.983733015714287354e-03 1.637627242857143039e-03
2.963899999999999868e-02 1.007937296285714435e-02 1.704113117428571579e-03
2.981899999999999828e-02 9.883164761428572809e-03 1.669820299142856998e-03
2.999900000000000136e-02 9.478715482857143562e-03 1.750119921571428611e-03
3.017900000000000096e-02 9.395020191428571366e-03 2.250398082285714075e-03
3.035900000000000057e-02 9.285723098571427997e-03 1.840720711428571335e-03
3.053799999999999917e-02 9.214702372857142693e-03 1.607991986857142900e-03
3.071799999999999878e-02 8.900997605714285055e-03 1.576092286428571257e-03
3.089799999999999838e-02 9.042876449999999108e-03 1.594747295857142913e-03
3.107800000000000146e-02 8.941723509999999209e-03 1.632666513285714344e-03
3.125700000000000006e-02 9.059503441428570780e-03 1.637425114857142755e-03
3.143699999999999967e-02 9.293293012857140045e-03 1.605224289285714237e-03
3.161699999999999927e-02 8.958589011428571072e-03 1.487086156142857201e-03
3.179699999999999888e-02 8.720343204285717006e-03 1.524214539000000312e-03
3.197599999999999748e-02 8.673783727142855490e-03 1.485028091571428607e-03
3.215599999999999709e-02 8.125156314285711737e-03 1.591881632999999924e-03
3.233599999999999669e-02 8.606363169999997273e-03 1.500848187571428597e-03
3.251600000000000323e-02 8.318588471428569817e-03 1.515436669714285761e-03
3.269500000000000184e-02 8.183906912857141780e-03 1.492279332428571434e-03
3.287500000000000144e-02 8.553776101428572920e-03 1.441447152000000041e-03
3.305500000000000105e-02 8.344508391428572328e-03 1.480583437999999927e-03
3.323500000000000065e-02 8.116190269999998610e-03 1.736561118000000143e-03
3.341399999999999926e-02 8.228198278571427146e-03 1.880573266142857069e-03
3.359399999999999886e-02 8.129834002857144054e-03 1.617451486142857308e-03
3.377399999999999847e-02 8.400794948571425891e-03 1.415873805428571495e-03
3.395399999999999807e-02 8.205081257142858575e-03 1.435831269857142751e-03
3.413299999999999668e-02 7.743841557142858330e-03 1.400891133571428469e-03
3.431300000000000322e-02 7.755234318571430259e-03 1.531401313714285829e-03
3.449300000000000282e-02 7.554210062857142673e-03 1.739812919857142799e-03
3.467300000000000243e-02 7.792096167142858673e-03 1.594686276000000088e-03
3.485300000000000203e-02 7.721879355714285353e-03 1.420850896428571325e-03
3.503200000000000064e-02 7.438366837142858581e-03 1.462095303285714312e-03
3.521200000000000024e-02 7.290093197142855953e-03 1.568677796999999943e-03
3.539199999999999985e-02 7.178649379999998970e-03 1.417311577857142870e-03
3.557199999999999945e-02 6.801588277142856312e-03 1.480220997142857407e-03
3.575099999999999806e-02 7.390665654285713537e-03 1.569303856571428995e-03
3.593099999999999766e-02 7.199181864285715722e-03 1.443695543857142745e-03
3.611099999999999727e-02 7.455432271428572011e-03 1.367703542428571738e-03
3.629099999999999687e-02 7.095314781428571291e-03 1.384111798571428537e-03
3.647000000000000242e-02 7.114620185714286282e-03 1.339224874428571405e-03
3.665000000000000202e-02 8.030297739999999254e-03 1.363791801714285936e-03
3.683000000000000163e-02 7.272599468571429304e-03 1.358879029714285622e-03
3.701000000000000123e-02 7.540283895714284049e-03 1.565613924142857062e-03
3.718899999999999983e-02 7.419030232857143359e-03 1.349172008000000230e-03
3.736899999999999944e-02 7.362712122857141550e-03 1.324241474142857011e-03
3.754899999999999904e-02 7.331580514285711107e-03 1.458951245142857183e-03
3.772899999999999865e-02 6.734333995714283927e-03 1.370955448428571710e-03
3.790799999999999725e-02 6.661510502857142905e-03 1.378617565000000078e-03
3.808799999999999686e-02 6.776411960000000047e-03 1.404926314571428719e-03
3.826800000000000340e-02 6.915184198571427097e-03 1.533063083142857056e-03
3.844800000000000301e-02 6.655449824285715119e-03 1.289933173714285630e-03
3.862700000000000161e-02 6.607922328571428326e-03 1.311047989142857112e-03
3.880700000000000122e-02 6.748920895714284260e-03 1.325583571999999852e-03
3.898700000000000082e-02 6.579365759999998911e-03 1.329796306857143054e-03
3.916700000000000043e-02 6.239137644285713824e-03 1.315463310428571309e-03
3.934599999999999903e-02 6.639396541428572648e-03 1.417252217857142838e-03
3.952599999999999864e-02 6.675952604285713236e-03 1.340044245428571434e-03
3.970599999999999824e-02 6.652535582857140375e-03 1.279789645428571626e-03
3.988599999999999784e-02 6.785668751428572919e-03 1.364900146285714499e-03
4.006599999999999745e-02 6.392398968571429314e-03 1.307598227000000054e-03
4.024500000000000299e-02 6.198900185714286207e-03 1.299907785142857082e-03
4.042500000000000260e-02 6.222325855714285793e-03 1.284957104999999780e-03
4.060500000000000220e-02 6.132222905714282760e-03 1.291336191142857101e-03
4.078500000000000181e-02 6.304838739999999754e-03 1.351084769857142671e-03
4.096400000000000041e-02 6.049354251428571382e-03 1.253068891285714264e-03
4.114400000000000002e-02 6.132791537142857387e-03 1.281280265714285519e-03
4.132399999999999962e-02 6.269747805714285215e-03 1.254729195999999868e-03
4.150399999999999923e-02 6.247445168571427558e-03 1.257867102428571453e-03
4.168299999999999783e-02 6.006326099999999800e-03 1.274057224571428825e-03
4.186299999999999744e-02 6.149088250000001206e-03 1.320073844428571288e-03
4.204299999999999704e-02 6.529089698571429075e-03 1.298711807428571405e-03
4.222299999999999665e-02 6.129880901428570554e-03 1.240879642285714485e-03
4.240200000000000219e-02 5.747312935714285649e-03 1.260502507428571534e-03
4.258200000000000179e-02 5.483741935714284144e-03 1.307506316714285603e-03
4.276200000000000140e-02 5.911275647142858088e-03 1.255353964857143035e-03
4.294200000000000100e-02 5.869956102857142033e-03 1.273318073285713932e-03
4.312099999999999961e-02 5.938832357142856747e-03 1.224487535285714423e-03
4.330099999999999921e-02 5.780622472857144083e-03 1.236095436142857062e-03
4.348099999999999882e-02 5.914383442857141203e-03 1.219471837285714252e-03
4.366099999999999842e-02 5.873160870000000526e-03 1.315202376142857220e-03
4.383999999999999703e-02 5.710423397142857724e-03 1.220019427428571408e-03
4.401999999999999663e-02 5.582492574285715867e-03 1.255400025428571407e-03
4.420000000000000318e-02 5.698965801428571357e-03 1.208891879142857170e-03
4.438000000000000278e-02 5.670047098571427170e-03 1.261466613999999865e-03
4.456000000000000238e-02 5.668390362857142484e-03 1.343565980428571352e-03
4.473900000000000099e-02 5.517119244285713202e-03 1.283376015571428613e-03
4.491900000000000059e-02 5.461881269999998081e-03 1.227810379428571647e-03
4.509900000000000020e-02 5.558340168571429540e-03 1.217139762428571777e-03
4.527899999999999980e-02 5.786541342857140328e-03 1.256466087285714383e-03
4.545799999999999841e-02 5.173877068571428386e-03 1.290112885571428631e-03
4.563799999999999801e-02 5.157166657142858712e-03 1.216169043714285681e-03
4.581799999999999762e-02 5.202273840000001294e-03 1.199839177714285632e-03
4.599799999999999722e-02 5.479157111428571356e-03 1.320434164428571557e-03
4.617700000000000277e-02 5.650170738571428340e-03 1.319889442857142972e-03
4.635700000000000237e-02 5.574993952857141589e-03 1.280991952142857384e-03
4.653700000000000198e-02 5.457989047142857222e-03 1.274240835428571209e-03
4.671700000000000158e-02 5.734516811428570435e-03 1.149068312857142804e-03
4.689600000000000019e-02 5.320728377142855403e-03 1.146119245285714397e-03
4.707599999999999979e-02 5.115761124285712717e-03 1.172764487857142672e-03
4.725599999999999939e-02 5.104281494285714364e-03 1.280830646999999963e-03
4.743599999999999900e-02 5.551977674285712809e-03 1.298064460857142628e-03
4.761499999999999760e-02 5.116739141428571468e-03 1.177049020142857108e-03
4.779499999999999721e-02 5.185993182857141608e-03 1.160708652857143008e-03
4.797499999999999681e-02 5.008454777142856869e-03 1.253994327000000023e-03
4.815500000000000336e-02 5.243149807142854189e-03 1.310256262142857212e-03
4.833400000000000196e-02 4.950225611428570906e-03 1.139673341571428595e-03
4.851400000000000157e-02 5.149435840000000063e-03 1.157029737000000048e-03
4.869400000000000117e-02 5.139647302857141935e-03 1.259976740857142886e-03
4.887400000000000078e-02 5.368245627142857399e-03 1.357812146714285810e-03
4.905299999999999938e-02 5.419471957142855782e-03 1.191834748571428491e-03
4.923299999999999899e-02 5.249834287142857332e-03 1.136804192714285658e-03
4.941299999999999859e-02 5.033887115714284419e-03 1.127643677285714496e-03
4.959299999999999820e-02 4.874023071428569553e-03 1.150040977571428497e-03
4.977299999999999780e-02 5.100221247142857663e-03 1.124741948285714341e-03
4.995200000000000334e-02 5.100875772857142373e-03 1.161857986571428799e-03
5.013200000000000295e-02 4.747135567142857400e-03 1.128116116285714319e-03
5.031200000000000255e-02 4.876187724285713579e-03 1.110991236857143032e-03
5.049200000000000216e-02 4.724586168571429622e-03 1.303060914999999795e-03
5.067100000000000076e-02 4.687680995714287556e-03 1.188102417428571434e-03
5.085100000000000037e-02 4.521917472857142628e-03 1.143567415428571382e-03
5.103099999999999997e-02 4.646067108571429009e-03 1.233520171714285688e-03
5.121099999999999958e-02 4.678489641428572668e-03 1.144409967142857431e-03
5.138999999999999818e-02 4.590892281428568880e-03 1.116636469571428677e-03
5.156999999999999779e-02 4.600099034285715614e-03 1.174981817428571518e-03
5.174999999999999739e-02 4.981648161428571010e-03 1.174124267857143064e-03
5.192999999999999700e-02 5.022117724285715158e-03 1.212133036857142993e-03
5.210900000000000254e-02 4.972165384285713238e-03 1.114340506571428590e-03
5.228900000000000214e-02 4.916541719999999692e-03 1.182759974000000035e-03
5.246900000000000175e-02 4.674238147142856757e-03 1.194452357714285637e-03
5.264900000000000135e-02 4.577943401428571056e-03 1.082399160999999955e-03
5.282799999999999996e-02 4.394235285714284504e-03 1.081766014857142924e-03
5.300799999999999956e-02 4.906966135714285748e-03 1.045005535428571381e-03
5.318799999999999917e-02 4.751622754285715101e-03 1.017981061142857321e-03
5.336799999999999877e-02 4.697386677142858721e-03 1.021646100000000220e-03
5.354699999999999738e-02 4.866070701428572461e-03 1.061902908428571501e-03
5.372699999999999698e-02 4.359518281428570279e-03 9.768014472857143408e-04
5.390699999999999659e-02 4.597532145714284049e-03 1.020487941285714130e-03
5.408700000000000313e-02 4.861849648571428019e-03 1.003933969428571311e-03
5.426700000000000274e-02 4.654188982857143837e-03 1.067635575714285644e-03
5.444600000000000134e-02 4.444286301428570889e-03 1.178945483857142757e-03
5.462600000000000094e-02 4.075653911428571766e-03 1.148646562857142967e-03
5.480600000000000055e-02 4.456427172857144181e-03 9.648396111428571287e-04
5.498600000000000015e-02 4.518640781428571139e-03 9.950526411428572970e-04
5.516499999999999876e-02 4.405779882857141852e-03 1.045713943428571357e-03
5.534499999999999836e-02 4.355325934285715801e-03 9.775071130000000542e-04
5.552499999999999797e-02 4.268878298571426519e-03 9.995095235714286045e-04
5.570499999999999757e-02 4.246954182857143323e-03 1.019930437857142960e-03
5.588400000000000312e-02 4.233597752857144215e-03 1.095048996428571323e-03
5.606400000000000272e-02 4.197829289999997250e-03 9.603522774285714724e-04
5.624400000000000233e-02 4.364261510000000920e-03 9.139758095714286970e-04
5.642400000000000193e-02 4.545785665714285016e-03 9.573505741428572132e-04
5.660300000000000054e-02 4.597785389999997641e-03 9.659916040000001087e-04
5.678300000000000014e-02 4.549992620000000224e-03 9.259851667142857600e-04
5.696299999999999975e-02 4.202651544285713678e-03 9.723183780000001263e-04
5.714299999999999935e-02 4.100484047142856185e-03 9.169629307142857042e-04
5.732199999999999795e-02 4.191444585714283397e-03 9.184498521428572553e-04
5.750199999999999756e-02 4.476618325714284453e-03 9.448305782857142551e-04
5.768199999999999716e-02 4.293012411428570596e-03 9.172824492857141595e-04
5.786199999999999677e-02 4.073951208571428492e-03 9.866769839999998872e-04
5.804100000000000231e-02 4.162197267142855872e-03 9.283102935714285676e-04
5.822100000000000192e-02 4.115773962857141761e-03 9.553372754285714480e-04
5.840100000000000152e-02 4.192758217142855334e-03 8.993360809999999305e-04
5.858100000000000113e-02 4.359361411428573467e-03 9.882345682857142204e-04
5.875999999999999973e-02 4.477699857142857474e-03 9.046202647142856162e-04
5.893999999999999934e-02 4.294276967142856768e-03 9.325208978571429596e-04
5.911999999999999894e-02 4.332961207142856444e-03 8.892309364285713724e-04
5.929999999999999855e-02 4.140783542857140627e-03 9.059772205714286108e-04
5.947999999999999815e-02 4.197012171428571824e-03 1.046179688714285634e-03
5.965899999999999676e-02 4.026686885714284708e-03 9.214445495714286170e-04
5.983900000000000330e-02 4.187393842857143646e-03 9.735287921428571484e-04
6.001900000000000290e-02 4.142478601428572528e-03 9.102763188571428481e-04
6.019900000000000251e-02 3.749495692857142577e-03 9.770341642857142614e-04
6.037800000000000111e-02 4.295849578571428636e-03 9.814258274285713683e-04
6.055800000000000072e-02 3.994348284285714756e-03 8.626397594285714664e-04
6.073800000000000032e-02 3.899630980000000271e-03 9.329773197142858434e-04
6.091799999999999993e-02 4.091871394285714718e-03 8.759203677142857539e-04
6.109699999999999853e-02 3.888272541428571157e-03 9.228298901428571123e-04
6.127699999999999814e-02 3.846321734285714899e-03 8.895191384285715220e-04
6.145699999999999774e-02 3.880628368571427834e-03 9.354998648571428337e-04
6.163699999999999735e-02 3.922054691428570120e-03 8.603424665714284620e-04
6.181600000000000289e-02 3.878696319999999642e-03 8.710501448571428317e-04
