# q	i	err
2.694300000000000167e-02 1.410752339714285708e-02 2.107325977714285571e-03
2.712300000000000127e-02 1.397652722142857067e-02 1.996218577142857501e-03
2.730300000000000088e-02 1.339195902142857088e-02 1.883508164285714473e-03
2.748199999999999948e-02 1.281948824428571013e-02 1.778347882000000163e-03
2.766199999999999909e-02 1.244030422857142840e-02 1.606678006714285650e-03
2.784199999999999869e-02 1.246430107285714274e-02 1.752234551714285668e-03
2.802199999999999830e-02 1.229560506142857342e-02 1.521157945285714483e-03
2.820100000000000037e-02 1.197044244285714286e-02 1.576411907142857144e-03
2.838099999999999998e-02 1.184206698428571201e-02 1.602602331285714419e-03
2.856099999999999958e-02 1.154172068428571500e-02 1.623409570142857325e-03
2.874099999999999919e-02 1.140167176000000081e-02 1.943488166714285982e-03
2.892000000000000126e-02 1.136295874428571405e-02 1.632723765571428721e-03
2.910000000000000087e-02 1.146119562142857047e-02 1.499075920571428652e-03
2.928000000000000047e-02 1.121320156571428521e-02 1.500619138142857091e-03
2.946000000000000008e-02 1.103377132857142826e-02 1.445255058285714470e-03
2.963899999999999868e-02 1.048037401714285721e-02 1.443532926285714339e-03
2.981899999999999828e-02 1.027886669857142575e-02 1.300338060571428356e-03
2.999900000000000136e-02 1.053969178428571310e-02 1.448868695285714494e-03
3.017900000000000096e-02 1.032758089999999927e-02 1.617349409142857311e-03
3.035900000000000057e-02 9.880788224285712990e-03 1.958643401571428383e-03
3.053799999999999917e-02 9.520699738571430232e-03 1.422299997857142751e-03
3.071799999999999878e-02 9.630707147142857430e-03 1.530008029999999899e-03
3.089799999999999838e-02 9.540856758571428231e-03 1.439903012714285760e-03
3.107800000000000146e-02 9.024316197142853366e-03 1.518294937857142752e-03
3.125700000000000006e-02 9.450153211428571898e-03 1.564368668285714319e-03
3.143699999999999967e-02 8.865037859999999256e-03 1.346313932142857283e-03
3.161699999999999927e-02 8.407301274285714637e-03 1.445709431571428434e-03
3.179699999999999888e-02 8.492600904285715208e-03 1.252593214714285610e-03
3.197599999999999748e-02 8.138403389999996490e-03 1.300151412857142611e-03
3.215599999999999709e-02 8.143181487142854905e-03 1.544758890999999934e-03
3.233599999999999669e-02 7.984233852857142849e-03 1.556842460428571476e-03
3.251600000000000323e-02 7.415417009999999629e-03 1.343563806714285743e-03
3.269500000000000184e-02 7.804445035714285828e-03 1.311134429142857142e-03
3.287500000000000144e-02 7.793622999999998656e-03 1.428105298000000153e-03
3.305500000000000105e-02 7.065062857142856249e-03 1.189880997571428605e-03
3.323500000000000065e-02 7.481828547142857326e-03 1.302931448571428711e-03
3.341399999999999926e-02 7.334054651428570382e-03 1.377063602142857045e-03
3.359399999999999886e-02 7.356491672857142991e-03 1.349831447571428608e-03
3.377399999999999847e-02 6.921611991428572308e-03 1.337121903714285839e-03
3.395399999999999807e-02 6.856636362857143792e-03 1.354190571714285847e-03
3.413299999999999668e-02 6.817214007142856878e-03 1.376649294428571339e-03
3.431300000000000322e-02 6.610913527142854920e-03 1.213822423857142561e-03
3.449300000000000282e-02 6.606722197142855628e-03 1.170856695142857189e-03
3.467300000000000243e-02 6.153842369999999902e-03 1.230497592571428442e-03
3.485300000000000203e-02 6.611234344285712473e-03 1.396524146285714344e-03
3.503200000000000064e-02 6.467797821428570952e-03 1.517203741142857326e-03
3.521200000000000024e-02 6.297408499999998868e-03 1.298583892142857058e-03
3.539199999999999985e-02 6.245847252857142894e-03 1.434430782571428659e-03
3.557199999999999945e-02 6.169919492857141655e-03 1.262705243142857444e-03
3.575099999999999806e-02 6.211104358571428903e-03 1.329452222285714205e-03
3.593099999999999766e-02 6.235807947142858396e-03 1.434961229571428496e-03
3.611099999999999727e-02 5.658542517142857962e-03 1.433216101857143123e-03
3.629099999999999687e-02 5.627585997142856185e-03 1.504140929142857219e-03
3.647000000000000242e-02 5.735353572857142257e-03 1.271884845857142827e-03
3.665000000000000202e-02 5.247245681428570896e-03 1.055541465285714372e-03
3.683000000000000163e-02 5.017261850000001230e-03 1.104083031857142853e-03
3.701000000000000123e-02 5.253947661428568297e-03 1.177721720571428543e-03
3.718899999999999983e-02 5.109723221428569100e-03 1.342625570142857256e-03
3.736899999999999944e-02 5.186810778571428714e-03 1.162211147714285698e-03
3.754899999999999904e-02 5.187949127142855998e-03 1.198151523428571267e-03
3.772899999999999865e-02 4.887379001428570659e-03 1.182660063285714000e-03
3.790799999999999725e-02 4.982619319999999352e-03 1.089041989714285581e-03
3.808799999999999686e-02 5.006722859999999942e-03 1.160525108000000144e-03
3.826800000000000340e-02 5.267415311428570550e-03 1.158748651285714188e-03
3.844800000000000301e-02 5.172464789999998459e-03 1.043463541428571364e-03
3.862700000000000161e-02 4.750446858571426810e-03 1.038521087428571476e-03
3.880700000000000122e-02 4.408964295714283381e-03 1.057664728142857251e-03
3.898700000000000082e-02 4.502251708571428611e-03 1.023847965714285704e-03
3.916700000000000043e-02 4.632528891428571056e-03 1.086124424285714362e-03
3.934599999999999903e-02 4.479627728571429664e-03 1.026345342714285675e-03
3.952599999999999864e-02 4.633753174285715204e-03 9.970612937142857898e-04
3.970599999999999824e-02 4.192838857142856639e-03 1.012963483571428531e-03
3.988599999999999784e-02 4.296199961428569247e-03 1.048320554000000109e-03
4.006599999999999745e-02 4.304114159999998870e-03 1.028912863857143036e-03
4.024500000000000299e-02 4.322671157142856171e-03 1.014349354428571454e-03
4.042500000000000260e-02 4.358926995714287010e-03 1.113981320142857102e-03
4.060500000000000220e-02 4.358040914285714502e-03 1.208690069428571727e-03
4.078500000000000181e-02 4.321345621428572537e-03 1.214136774428571392e-03
4.096400000000000041e-02 4.118052708571426877e-03 1.388537188857142616e-03
4.114400000000000002e-02 4.033431208571428006e-03 1.082346578714285783e-03
4.132399999999999962e-02 3.773144948571428414e-03 1.071396103000000089e-03
4.150399999999999923e-02 3.564704328571428448e-03 9.834201231428570632e-04
4.168299999999999783e-02 3.674113067142856931e-03 1.086452272285714279e-03
4.186299999999999744e-02 3.884921201428571686e-03 1.157376774428571509e-03
4.204299999999999704e-02 3.680920141428571830e-03 1.165290375285714429e-03
4.222299999999999665e-02 3.631580599999999909e-03 1.056176440000000010e-03
4.240200000000000219e-02 3.580469921428570783e-03 1.091612864285714229e-03
4.258200000000000179e-02 3.695622792857142756e-03 1.049318587000000079e-03
4.276200000000000140e-02 3.554435851428568594e-03 9.640705551428571706e-04
4.294200000000000100e-02 3.713833535714285150e-03 9.803285581428571645e-04
4.312099999999999961e-02 3.625180171428570540e-03 1.013484499428571458e-03
4.330099999999999921e-02 3.362781574285714052e-03 1.091907211571428596e-03
4.348099999999999882e-02 3.469581859999998959e-03 1.216485279428571650e-03
4.366099999999999842e-02 3.265148675714284708e-03 1.019669297571428610e-03
4.383999999999999703e-02 3.117072357142856767e-03 1.055308523428571347e-03
4.401999999999999663e-02 3.583199657142855776e-03 9.702991580000001155e-04
4.420000000000000318e-02 3.638181264285713420e-03 9.620026054285715300e-04
4.438000000000000278e-02 3.263293055714286493e-03 1.098846407285714163e-03
4.456000000000000238e-02 3.526164881428572959e-03 1.020576495714285627e-03
4.473900000000000099e-02 3.517003325714285287e-03 9.288688274285714173e-04
4.491900000000000059e-02 3.353058022857142301e-03 9.612125572857142374e-04
4.509900000000000020e-02 3.274019161428571006e-03 9.500077668571428905e-04
4.527899999999999980e-02 3.080379510000000841e-03 9.655573498571429561e-04
4.545799999999999841e-02 3.005035707142856942e-03 1.020015006714285796e-03
4.563799999999999801e-02 2.984626132857142594e-03 1.006477781000000111e-03
4.581799999999999762e-02 2.927377508571427263e-03 1.056558116857143079e-03
4.599799999999999722e-02 2.733271109999999785e-03 9.923376554285714794e-04
4.617700000000000277e-02 2.843598084285715259e-03 1.103464695571428544e-03
4.635700000000000237e-02 2.697345489999999641e-03 1.092191859428571447e-03
4.653700000000000198e-02 2.520017211428571963e-03 1.263064420857143129e-03
4.671700000000000158e-02 2.640873977142855957e-03 9.616802162857142951e-04
4.689600000000000019e-02 2.793865707142857702e-03 1.051663097142857117e-03
4.707599999999999979e-02 2.639764438571426310e-03 9.218384552857143135e-04
4.725599999999999939e-02 2.726413542857142065e-03 1.003537791285714345e-03
4.743599999999999900e-02 2.959294322857143698e-03 1.224569018142857230e-03
4.761499999999999760e-02 2.744390334285713891e-03 1.295651677999999770e-03
4.779499999999999721e-02 2.609477138571429742e-03 1.169046565000000102e-03
4.797499999999999681e-02 2.691049628571428026e-03 9.936951747142857422e-04
4.815500000000000336e-02 2.622136652857141783e-03 9.677914539999999928e-04
4.833400000000000196e-02 2.473202714285714209e-03 9.113057351428572369e-04
4.851400000000000157e-02 2.293628632857141070e-03 9.502477164285713998e-04
4.869400000000000117e-02 2.114485287142856516e-03 1.096016360571428622e-03
4.887400000000000078e-02 2.304157702857141665e-03 1.079425123714285737e-03
4.905299999999999938e-02 2.414072347142855440e-03 8.826734165714286619e-04
4.923299999999999899e-02 2.426385450000000891e-03 9.531901907142857535e-04
4.941299999999999859e-02 2.597295292857141214e-03 9.380083014285713885e-04
4.959299999999999820e-02 2.626714904285714063e-03 1.032151947285714312e-03
4.977299999999999780e-02 1.490403648571428938e-03 2.305946477714285788e-03
4.995200000000000334e-02 2.043059658571427274e-03 1.124680399285714599e-03
5.013200000000000295e-02 2.238659472857143680e-03 9.094565335714285782e-04
5.031200000000000255e-02 2.388180225714285534e-03 9.861941707142857227e-04
5.049200000000000216e-02 2.272278689999998082e-03 1.111335206714285633e-03
5.067100000000000076e-02 2.611662955714284893e-03 1.183027265571428687e-03
5.085100000000000037e-02 2.552679577142856048e-03 1.103029996142857166e-03
5.103099999999999997e-02 2.427077052857141547e-03 9.557446274285714624e-04
5.121099999999999958e-02 2.174382868571427766e-03 9.470903992857142338e-04
5.138999999999999818e-02 2.054716951428571612e-03 9.204483715714286080e-04
5.156999999999999779e-02 2.077156137142855373e-03 9.372413335714286243e-04
5.174999999999999739e-02 2.212691901428569512e-03 1.016200172428571294e-03
5.192999999999999700e-02 2.292117095714286523e-03 1.055297794857142958e-03
5.210900000000000254e-02 2.115633715714285591e-03 9.114397931428570550e-04
5.228900000000000214e-02 1.972637027142856714e-03 8.775148052857142250e-04
5.246900000000000175e-02 2.020711098571428919e-03 8.710525068571428262e-04
5.264900000000000135e-02 2.157344832857143336e-03 8.845514937142857307e-04
5.282799999999999996e-02 2.432135601428571641e-03 8.913895394285713909e-04
5.300799999999999956e-02 2.231613707142858071e-03 8.346072769999998827e-04
5.318799999999999917e-02 1.970140527142857142e-03 9.471947691428572041e-04
5.336799999999999877e-02 1.957748797142858706e-03 8.409826161428569967e-04
5.354699999999999738e-02 2.027167565714286471e-03 8.097325488571428592e-04
5.372699999999999698e-02 2.144400755714287021e-03 7.958874571428571024e-04
5.390699999999999659e-02 2.067221345714285920e-03 8.449687284285714540e-04
5.408700000000000313e-02 2.032374831428570509e-03 8.274155335714284331e-04
5.426700000000000274e-02 2.121171554285713936e-03 8.757837154285714066e-04
5.444600000000000134e-02 1.992771030000000266e-03 7.555219849999999593e-04
5.462600000000000094e-02 2.067032127142856036e-03 7.737724041428571372e-04
5.480600000000000055e-02 2.057960155714285821e-03 8.682065225714285682e-04
5.498600000000000015e-02 1.790354758571427538e-03 8.089775422857143836e-04
5.516499999999999876e-02 1.607725551428572245e-03 7.634606484285714556e-04
5.534499999999999836e-02 1.857369425714284344e-03 7.515823365714285930e-04
5.552499999999999797e-02 2.074215365714285591e-03 7.736382174285715615e-04
5.570499999999999757e-02 1.828844925714284133e-03 8.049240835714285792e-04
5.588400000000000312e-02 1.558846947142857433e-03 8.237098057142857059e-04
5.606400000000000272e-02 1.836091282857142638e-03 7.519936834285715016e-04
5.624400000000000233e-02 1.830894669999999936e-03 7.947678659999999435e-04
5.642400000000000193e-02 1.675630654285713067e-03 8.922171918571429649e-04
5.660300000000000054e-02 1.849984691428570695e-03 7.734981769999999023e-04
5.678300000000000014e-02 1.806033642857142376e-03 7.298252807142858274e-04
5.696299999999999975e-02 1.732609565714287019e-03 8.361460965714284394e-04
5.714299999999999935e-02 1.837353708571427780e-03 7.847586531428571649e-04
5.732199999999999795e-02 1.766767128571427410e-03 7.009888218571428244e-04
5.750199999999999756e-02 1.824148658571427689e-03 7.863723248571428395e-04
